ID,Actual,Predicted,Posterior Probability
2905, <=50K, >50K,0.6363636363636364
6846, <=50K, <=50K,0.09090909090909091
23873, >50K, >50K,0.5454545454545454
27746, <=50K, >50K,0.5454545454545454
25673, <=50K, <=50K,0.0
10811, <=50K, <=50K,0.18181818181818182
2675, <=50K, >50K,0.6363636363636364
9296, <=50K, >50K,0.6363636363636364
7733, >50K, >50K,0.8181818181818182
12547, >50K, >50K,0.8181818181818182
12148, <=50K, <=50K,0.18181818181818182
7088, >50K, >50K,0.7272727272727273
24586, <=50K, <=50K,0.18181818181818182
26750, <=50K, <=50K,0.09090909090909091
19499, <=50K, <=50K,0.45454545454545453
21191, >50K, <=50K,0.2727272727272727
27441, >50K, >50K,0.7272727272727273
14765, <=50K, <=50K,0.18181818181818182
23331, <=50K, >50K,0.5454545454545454
9478, <=50K, <=50K,0.2727272727272727
5851, <=50K, <=50K,0.18181818181818182
23493, <=50K, >50K,0.5454545454545454
29451, <=50K, <=50K,0.36363636363636365
14517, <=50K, >50K,0.7272727272727273
27289, <=50K, <=50K,0.18181818181818182
22898, <=50K, >50K,0.6363636363636364
30930, <=50K, <=50K,0.2727272727272727
20927, <=50K, >50K,0.5454545454545454
2426, >50K, >50K,0.7272727272727273
8247, <=50K, <=50K,0.09090909090909091
31691, >50K, <=50K,0.36363636363636365
7063, <=50K, <=50K,0.2727272727272727
31186, >50K, >50K,0.7272727272727273
16341, <=50K, <=50K,0.45454545454545453
21171, <=50K, <=50K,0.18181818181818182
30838, <=50K, >50K,0.5454545454545454
32158, <=50K, >50K,0.5454545454545454
29860, <=50K, <=50K,0.36363636363636365
30499, <=50K, <=50K,0.18181818181818182
17197, >50K, >50K,0.7272727272727273
10328, >50K, <=50K,0.18181818181818182
13794, <=50K, <=50K,0.2727272727272727
1388, >50K, <=50K,0.45454545454545453
4195, <=50K, <=50K,0.18181818181818182
2489, <=50K, <=50K,0.45454545454545453
2541, <=50K, <=50K,0.09090909090909091
18947, <=50K, >50K,0.6363636363636364
17704, <=50K, >50K,0.6363636363636364
15809, <=50K, <=50K,0.18181818181818182
30175, >50K, >50K,0.5454545454545454
28338, >50K, <=50K,0.45454545454545453
25963, <=50K, <=50K,0.18181818181818182
10465, <=50K, >50K,0.7272727272727273
13841, >50K, >50K,0.6363636363636364
12079, <=50K, <=50K,0.18181818181818182
29070, <=50K, <=50K,0.45454545454545453
30262, <=50K, <=50K,0.18181818181818182
20066, <=50K, >50K,0.7272727272727273
4476, >50K, >50K,0.5454545454545454
8260, <=50K, >50K,0.5454545454545454
9701, <=50K, >50K,0.7272727272727273
13291, <=50K, <=50K,0.45454545454545453
8980, >50K, <=50K,0.18181818181818182
20349, <=50K, <=50K,0.2727272727272727
738, <=50K, >50K,0.5454545454545454
10680, <=50K, <=50K,0.18181818181818182
20035, <=50K, <=50K,0.36363636363636365
13636, <=50K, <=50K,0.18181818181818182
18454, <=50K, <=50K,0.36363636363636365
17269, <=50K, >50K,0.7272727272727273
31361, <=50K, <=50K,0.09090909090909091
27538, <=50K, <=50K,0.36363636363636365
8266, <=50K, <=50K,0.2727272727272727
2457, <=50K, <=50K,0.45454545454545453
14444, <=50K, <=50K,0.2727272727272727
51, <=50K, >50K,0.5454545454545454
10913, >50K, >50K,0.7272727272727273
12158, >50K, <=50K,0.45454545454545453
15757, <=50K, >50K,0.6363636363636364
19587, <=50K, <=50K,0.18181818181818182
15884, <=50K, <=50K,0.18181818181818182
17845, <=50K, <=50K,0.18181818181818182
21205, <=50K, >50K,0.7272727272727273
30528, <=50K, >50K,0.7272727272727273
13047, <=50K, >50K,0.7272727272727273
26684, >50K, >50K,0.7272727272727273
17332, >50K, >50K,0.7272727272727273
14324, <=50K, <=50K,0.18181818181818182
31860, <=50K, <=50K,0.09090909090909091
27160, >50K, <=50K,0.45454545454545453
17808, <=50K, <=50K,0.45454545454545453
25937, <=50K, <=50K,0.18181818181818182
17772, >50K, >50K,0.6363636363636364
32244, <=50K, >50K,0.5454545454545454
25308, <=50K, <=50K,0.0
25704, <=50K, <=50K,0.2727272727272727
3885, >50K, <=50K,0.36363636363636365
12665, <=50K, <=50K,0.18181818181818182
21388, <=50K, <=50K,0.45454545454545453
22945, <=50K, >50K,0.7272727272727273
8215, <=50K, >50K,0.7272727272727273
4333, <=50K, >50K,0.7272727272727273
12954, <=50K, <=50K,0.36363636363636365
9183, >50K, >50K,0.7272727272727273
24392, <=50K, <=50K,0.2727272727272727
