ID,Actual,Predicted,Posterior Probability
2905, <=50K, <=50K,0.5
6846, <=50K, <=50K,0.0
23873, >50K, <=50K,0.0
27746, <=50K, <=50K,0.25
25673, <=50K, <=50K,0.0
10811, <=50K, <=50K,0.0
2675, <=50K, <=50K,0.0
9296, <=50K, <=50K,0.0
7733, >50K, <=50K,0.25
12547, >50K, >50K,0.75
12148, <=50K, <=50K,0.25
7088, >50K, <=50K,0.0
24586, <=50K, <=50K,0.0
26750, <=50K, <=50K,0.25
19499, <=50K, <=50K,0.25
21191, >50K, <=50K,0.25
27441, >50K, <=50K,0.0
14765, <=50K, <=50K,0.0
23331, <=50K, <=50K,0.0
9478, <=50K, <=50K,0.0
5851, <=50K, <=50K,0.0
23493, <=50K, <=50K,0.0
29451, <=50K, >50K,0.75
14517, <=50K, <=50K,0.5
27289, <=50K, <=50K,0.25
22898, <=50K, <=50K,0.0
30930, <=50K, <=50K,0.0
20927, <=50K, <=50K,0.0
2426, >50K, <=50K,0.0
8247, <=50K, <=50K,0.0
31691, >50K, <=50K,0.5
7063, <=50K, <=50K,0.0
31186, >50K, <=50K,0.25
16341, <=50K, <=50K,0.0
21171, <=50K, <=50K,0.0
30838, <=50K, <=50K,0.0
32158, <=50K, <=50K,0.25
29860, <=50K, <=50K,0.25
30499, <=50K, <=50K,0.0
17197, >50K, >50K,1.0
10328, >50K, <=50K,0.25
13794, <=50K, <=50K,0.0
1388, >50K, <=50K,0.0
4195, <=50K, <=50K,0.0
2489, <=50K, <=50K,0.25
2541, <=50K, <=50K,0.0
18947, <=50K, <=50K,0.0
17704, <=50K, <=50K,0.0
15809, <=50K, <=50K,0.25
30175, >50K, <=50K,0.0
28338, >50K, <=50K,0.5
25963, <=50K, <=50K,0.25
10465, <=50K, <=50K,0.0
13841, >50K, >50K,0.75
12079, <=50K, <=50K,0.0
29070, <=50K, <=50K,0.25
30262, <=50K, <=50K,0.25
20066, <=50K, <=50K,0.25
4476, >50K, <=50K,0.25
8260, <=50K, <=50K,0.0
9701, <=50K, <=50K,0.5
13291, <=50K, <=50K,0.0
8980, >50K, <=50K,0.25
20349, <=50K, <=50K,0.0
738, <=50K, <=50K,0.0
10680, <=50K, <=50K,0.25
20035, <=50K, <=50K,0.0
13636, <=50K, <=50K,0.25
18454, <=50K, <=50K,0.25
17269, <=50K, <=50K,0.25
31361, <=50K, <=50K,0.0
27538, <=50K, <=50K,0.25
8266, <=50K, <=50K,0.25
2457, <=50K, <=50K,0.25
14444, <=50K, <=50K,0.25
51, <=50K, <=50K,0.0
10913, >50K, <=50K,0.0
12158, >50K, <=50K,0.5
15757, <=50K, <=50K,0.0
19587, <=50K, <=50K,0.25
15884, <=50K, <=50K,0.0
17845, <=50K, <=50K,0.25
21205, <=50K, <=50K,0.25
30528, <=50K, >50K,0.75
13047, <=50K, <=50K,0.5
26684, >50K, >50K,0.75
17332, >50K, <=50K,0.25
14324, <=50K, <=50K,0.25
31860, <=50K, <=50K,0.25
27160, >50K, >50K,0.75
17808, <=50K, <=50K,0.0
25937, <=50K, <=50K,0.25
17772, >50K, <=50K,0.5
32244, <=50K, <=50K,0.0
25308, <=50K, <=50K,0.0
25704, <=50K, <=50K,0.0
3885, >50K, <=50K,0.0
12665, <=50K, <=50K,0.0
21388, <=50K, >50K,0.75
22945, <=50K, >50K,1.0
8215, <=50K, <=50K,0.5
4333, <=50K, <=50K,0.25
12954, <=50K, <=50K,0.0
9183, >50K, <=50K,0.25
24392, <=50K, <=50K,0.0
26160, <=50K, <=50K,0.5
26460, <=50K, <=50K,0.25
22736, >50K, <=50K,0.5
23758, <=50K, <=50K,0.0
10442, <=50K, <=50K,0.0
24919, <=50K, <=50K,0.0
8953, >50K, <=50K,0.0
11028, >50K, <=50K,0.25
22209, >50K, <=50K,0.5
30504, <=50K, <=50K,0.0
30556, <=50K, <=50K,0.25
22913, >50K, <=50K,0.25
27270, <=50K, <=50K,0.0
23302, >50K, <=50K,0.25
24480, <=50K, <=50K,0.0
392, <=50K, <=50K,0.0
1705, <=50K, <=50K,0.0
5284, <=50K, <=50K,0.0
22396, <=50K, <=50K,0.0
13655, >50K, <=50K,0.5
25846, <=50K, <=50K,0.25
26436, <=50K, <=50K,0.0
16569, <=50K, <=50K,0.0
15670, >50K, <=50K,0.5
2487, <=50K, <=50K,0.0
30810, <=50K, <=50K,0.25
10924, <=50K, <=50K,0.0
30508, <=50K, <=50K,0.0
23236, <=50K, <=50K,0.0
2461, >50K, <=50K,0.25
22437, <=50K, >50K,0.75
9501, >50K, <=50K,0.25
30738, <=50K, <=50K,0.25
7137, <=50K, <=50K,0.0
31153, <=50K, <=50K,0.0
14035, <=50K, <=50K,0.5
7627, <=50K, <=50K,0.5
15700, <=50K, <=50K,0.25
14006, <=50K, <=50K,0.0
1374, <=50K, <=50K,0.25
18731, <=50K, <=50K,0.25
30002, <=50K, <=50K,0.25
32111, <=50K, <=50K,0.0
15964, <=50K, <=50K,0.5
28687, <=50K, <=50K,0.0
19660, <=50K, <=50K,0.25
30344, >50K, <=50K,0.0
14761, >50K, <=50K,0.25
4172, <=50K, <=50K,0.0
6357, <=50K, <=50K,0.0
31958, <=50K, <=50K,0.0
4874, >50K, >50K,0.75
22390, >50K, <=50K,0.5
19054, <=50K, <=50K,0.0
18920, <=50K, <=50K,0.0
4533, <=50K, <=50K,0.0
21508, <=50K, <=50K,0.25
10679, <=50K, <=50K,0.25
17552, >50K, >50K,0.75
32531, >50K, <=50K,0.5
2610, <=50K, <=50K,0.25
17148, <=50K, >50K,0.75
12888, <=50K, <=50K,0.5
24649, <=50K, <=50K,0.0
31810, >50K, <=50K,0.5
25997, <=50K, <=50K,0.5
18396, <=50K, <=50K,0.0
2213, <=50K, <=50K,0.0
6075, <=50K, <=50K,0.0
26606, <=50K, <=50K,0.0
16074, <=50K, <=50K,0.5
18109, >50K, <=50K,0.25
23825, <=50K, <=50K,0.25
13171, >50K, <=50K,0.0
30059, >50K, <=50K,0.25
10299, <=50K, <=50K,0.25
27879, >50K, <=50K,0.25
8150, <=50K, <=50K,0.0
3303, <=50K, <=50K,0.0
29553, <=50K, <=50K,0.25
25765, >50K, <=50K,0.25
29820, <=50K, <=50K,0.0
21833, <=50K, <=50K,0.0
7503, <=50K, <=50K,0.0
5725, <=50K, <=50K,0.0
15161, >50K, >50K,0.75
9663, <=50K, <=50K,0.0
25610, <=50K, <=50K,0.25
12985, <=50K, <=50K,0.0
22414, <=50K, <=50K,0.25
1972, <=50K, <=50K,0.0
28141, <=50K, <=50K,0.0
28227, <=50K, <=50K,0.5
13993, <=50K, <=50K,0.25
18401, <=50K, <=50K,0.0
17713, <=50K, <=50K,0.0
22016, <=50K, <=50K,0.0
26146, <=50K, <=50K,0.0
2084, <=50K, <=50K,0.0
15006, <=50K, <=50K,0.0
5813, <=50K, <=50K,0.0
17076, <=50K, <=50K,0.0
19430, <=50K, >50K,0.75
1487, <=50K, <=50K,0.0
8370, <=50K, <=50K,0.25
28080, <=50K, <=50K,0.0
5012, <=50K, <=50K,0.0
2846, >50K, >50K,0.75
25051, <=50K, <=50K,0.0
9562, >50K, <=50K,0.0
7226, <=50K, <=50K,0.0
11510, <=50K, <=50K,0.0
3316, <=50K, <=50K,0.0
20647, <=50K, <=50K,0.0
1846, <=50K, <=50K,0.25
6752, >50K, <=50K,0.5
21200, <=50K, >50K,0.75
13877, <=50K, <=50K,0.0
10363, >50K, >50K,0.75
4051, <=50K, >50K,0.75
5868, >50K, <=50K,0.25
17419, <=50K, >50K,0.75
3773, <=50K, <=50K,0.25
25622, <=50K, <=50K,0.25
8317, <=50K, <=50K,0.0
27070, <=50K, <=50K,0.0
6038, <=50K, <=50K,0.25
25949, >50K, <=50K,0.25
31961, <=50K, <=50K,0.0
28650, <=50K, <=50K,0.5
29643, >50K, <=50K,0.25
2442, <=50K, <=50K,0.25
27725, >50K, <=50K,0.5
4368, <=50K, <=50K,0.0
16366, <=50K, <=50K,0.25
12641, <=50K, <=50K,0.5
11212, >50K, <=50K,0.0
8422, <=50K, <=50K,0.0
20606, <=50K, <=50K,0.5
25994, <=50K, <=50K,0.25
31907, >50K, <=50K,0.0
20144, <=50K, <=50K,0.25
26840, <=50K, <=50K,0.25
28729, >50K, >50K,0.75
10813, <=50K, <=50K,0.0
4192, <=50K, <=50K,0.0
12611, <=50K, <=50K,0.0
19177, <=50K, <=50K,0.0
19630, <=50K, <=50K,0.0
3274, >50K, <=50K,0.5
12430, >50K, >50K,0.75
20159, <=50K, <=50K,0.5
1114, <=50K, <=50K,0.0
20641, <=50K, <=50K,0.25
7685, <=50K, <=50K,0.0
16217, <=50K, <=50K,0.0
21286, <=50K, <=50K,0.0
28251, <=50K, <=50K,0.0
132, <=50K, <=50K,0.0
10004, >50K, <=50K,0.0
27817, >50K, <=50K,0.25
7347, <=50K, <=50K,0.5
31216, <=50K, <=50K,0.0
3213, >50K, >50K,0.75
158, <=50K, <=50K,0.0
4872, <=50K, <=50K,0.0
19983, <=50K, <=50K,0.25
615, <=50K, <=50K,0.0
258, <=50K, <=50K,0.0
10819, <=50K, <=50K,0.0
4022, <=50K, <=50K,0.25
7051, <=50K, <=50K,0.0
8436, <=50K, <=50K,0.25
13826, <=50K, <=50K,0.5
22277, >50K, <=50K,0.25
6267, <=50K, <=50K,0.25
18419, >50K, <=50K,0.25
13815, <=50K, <=50K,0.25
17358, <=50K, <=50K,0.5
29523, >50K, <=50K,0.5
9145, <=50K, <=50K,0.25
29378, <=50K, <=50K,0.25
6941, <=50K, <=50K,0.0
