ID,Actual,Predicted,Posterior Probability
2905, <=50K, >50K,0.75
6846, <=50K, <=50K,0.25
23873, >50K, <=50K,0.5
27746, <=50K, <=50K,0.25
25673, <=50K, <=50K,0.0
10811, <=50K, <=50K,0.0
2675, <=50K, <=50K,0.5
9296, <=50K, <=50K,0.5
7733, >50K, >50K,0.75
12547, >50K, >50K,0.75
12148, <=50K, <=50K,0.25
7088, >50K, <=50K,0.5
24586, <=50K, <=50K,0.0
26750, <=50K, <=50K,0.25
19499, <=50K, <=50K,0.5
21191, >50K, <=50K,0.0
27441, >50K, >50K,0.75
14765, <=50K, <=50K,0.0
23331, <=50K, >50K,0.75
9478, <=50K, <=50K,0.25
5851, <=50K, <=50K,0.25
23493, <=50K, <=50K,0.5
29451, <=50K, <=50K,0.5
14517, <=50K, >50K,0.75
27289, <=50K, <=50K,0.25
22898, <=50K, <=50K,0.5
30930, <=50K, <=50K,0.5
20927, <=50K, <=50K,0.5
2426, >50K, >50K,0.75
8247, <=50K, <=50K,0.0
31691, >50K, <=50K,0.25
7063, <=50K, <=50K,0.25
31186, >50K, <=50K,0.25
16341, <=50K, <=50K,0.5
21171, <=50K, <=50K,0.25
30838, <=50K, <=50K,0.5
32158, <=50K, <=50K,0.25
29860, <=50K, <=50K,0.5
30499, <=50K, <=50K,0.25
17197, >50K, >50K,0.75
10328, >50K, <=50K,0.25
13794, <=50K, <=50K,0.25
1388, >50K, <=50K,0.25
4195, <=50K, <=50K,0.25
2489, <=50K, <=50K,0.25
2541, <=50K, <=50K,0.0
18947, <=50K, <=50K,0.5
17704, <=50K, <=50K,0.5
15809, <=50K, <=50K,0.25
30175, >50K, <=50K,0.5
28338, >50K, <=50K,0.25
25963, <=50K, <=50K,0.25
10465, <=50K, <=50K,0.5
13841, >50K, >50K,0.75
12079, <=50K, <=50K,0.25
29070, <=50K, <=50K,0.25
30262, <=50K, <=50K,0.25
20066, <=50K, >50K,0.75
4476, >50K, <=50K,0.5
8260, <=50K, <=50K,0.5
9701, <=50K, <=50K,0.5
13291, <=50K, <=50K,0.25
8980, >50K, <=50K,0.25
20349, <=50K, <=50K,0.0
