ID,Actual,Predicted,Posterior Probability
2905, <=50K, <=50K,0.31666666666666665
6846, <=50K, <=50K,0.05
23873, >50K, <=50K,0.26666666666666666
27746, <=50K, <=50K,0.3333333333333333
25673, <=50K, <=50K,0.03333333333333333
10811, <=50K, <=50K,0.1
2675, <=50K, <=50K,0.016666666666666666
9296, <=50K, <=50K,0.13333333333333333
7733, >50K, <=50K,0.36666666666666664
12547, >50K, <=50K,0.45
12148, <=50K, <=50K,0.016666666666666666
7088, >50K, <=50K,0.11666666666666667
24586, <=50K, <=50K,0.016666666666666666
26750, <=50K, <=50K,0.21666666666666667
19499, <=50K, <=50K,0.2
21191, >50K, <=50K,0.08333333333333333
27441, >50K, <=50K,0.23333333333333334
14765, <=50K, <=50K,0.08333333333333333
23331, <=50K, <=50K,0.03333333333333333
9478, <=50K, <=50K,0.03333333333333333
5851, <=50K, <=50K,0.05
23493, <=50K, <=50K,0.26666666666666666
29451, <=50K, <=50K,0.3
14517, <=50K, <=50K,0.21666666666666667
27289, <=50K, <=50K,0.08333333333333333
22898, <=50K, <=50K,0.03333333333333333
30930, <=50K, <=50K,0.15
20927, <=50K, <=50K,0.08333333333333333
2426, >50K, <=50K,0.3
8247, <=50K, <=50K,0.08333333333333333
31691, >50K, <=50K,0.23333333333333334
7063, <=50K, <=50K,0.1
31186, >50K, <=50K,0.43333333333333335
16341, <=50K, <=50K,0.18333333333333332
21171, <=50K, <=50K,0.06666666666666667
30838, <=50K, <=50K,0.1
32158, <=50K, <=50K,0.3333333333333333
29860, <=50K, <=50K,0.35
30499, <=50K, <=50K,0.03333333333333333
17197, >50K, >50K,0.5166666666666667
10328, >50K, <=50K,0.23333333333333334
13794, <=50K, <=50K,0.03333333333333333
1388, >50K, <=50K,0.16666666666666666
4195, <=50K, <=50K,0.08333333333333333
2489, <=50K, <=50K,0.26666666666666666
2541, <=50K, <=50K,0.05
18947, <=50K, <=50K,0.1
17704, <=50K, <=50K,0.06666666666666667
15809, <=50K, <=50K,0.13333333333333333
30175, >50K, <=50K,0.1
28338, >50K, <=50K,0.4
25963, <=50K, <=50K,0.06666666666666667
10465, <=50K, <=50K,0.06666666666666667
13841, >50K, <=50K,0.43333333333333335
12079, <=50K, <=50K,0.06666666666666667
29070, <=50K, <=50K,0.05
30262, <=50K, <=50K,0.08333333333333333
20066, <=50K, <=50K,0.23333333333333334
4476, >50K, <=50K,0.31666666666666665
8260, <=50K, <=50K,0.08333333333333333
9701, <=50K, <=50K,0.31666666666666665
13291, <=50K, <=50K,0.48333333333333334
8980, >50K, <=50K,0.1
20349, <=50K, <=50K,0.11666666666666667
738, <=50K, <=50K,0.36666666666666664
10680, <=50K, <=50K,0.06666666666666667
20035, <=50K, <=50K,0.3
13636, <=50K, <=50K,0.1
18454, <=50K, <=50K,0.38333333333333336
17269, <=50K, <=50K,0.2833333333333333
31361, <=50K, <=50K,0.03333333333333333
27538, <=50K, >50K,0.5666666666666667
8266, <=50K, <=50K,0.11666666666666667
2457, <=50K, <=50K,0.25
14444, <=50K, <=50K,0.2833333333333333
51, <=50K, <=50K,0.11666666666666667
10913, >50K, <=50K,0.25
12158, >50K, <=50K,0.21666666666666667
15757, <=50K, <=50K,0.06666666666666667
19587, <=50K, <=50K,0.05
15884, <=50K, <=50K,0.03333333333333333
17845, <=50K, <=50K,0.08333333333333333
21205, <=50K, <=50K,0.2833333333333333
30528, <=50K, <=50K,0.4
13047, <=50K, <=50K,0.35
